Test Number,newTime,newPathLength,dijkstraTime,dijkstraPathLength,bfsTime,bfsPathLength,dfsTime,dfsPathLength,astarTime,astarPathLength
221,7.200241088867188e-05,5,0.00019288063049316406,10,0,0,3.1948089599609375e-05,25,9.298324584960938e-05,5
222,3.600120544433594e-05,2,0.0006721019744873047,3,0,0,6.699562072753906e-05,42,7.796287536621094e-05,2
223,8.606910705566406e-05,6,0.0005810260772705078,11,0,0,6.794929504394531e-05,43,0.00011396408081054688,6
224,4.982948303222656e-05,3,3.409385681152344e-05,4,0,0,1.811981201171875e-05,16,8.296966552734375e-05,3
225,3.695487976074219e-05,2,2.8848648071289062e-05,3,0,0,2.09808349609375e-05,18,7.581710815429688e-05,2
226,4.792213439941406e-05,3,4.506111145019531e-05,4,0,0,1.0967254638671875e-05,10,8.392333984375e-05,3
227,9.489059448242188e-05,7,0.00013494491577148438,12,0,0,6.9141387939453125e-06,8,0.00011515617370605469,7
228,7.295608520507812e-05,5,0.00023412704467773438,10,0,0,5.9604644775390625e-06,6,0.00010204315185546875,5
229,7.104873657226562e-05,5,0.0005021095275878906,6,0,0,7.009506225585938e-05,41,9.799003601074219e-05,5
230,0.000102996826171875,8,0.00035691261291503906,15,0,0,9.059906005859375e-06,9,0.00011801719665527344,8
231,3.790855407714844e-05,2,0.0001239776611328125,3,0,0,1.9073486328125e-05,17,7.891654968261719e-05,2
232,8.487701416015625e-05,6,0.00013017654418945312,7,0,0,2.002716064453125e-05,19,0.0001049041748046875,6
233,7.104873657226562e-05,5,0.0002651214599609375,10,0,0,4.601478576660156e-05,30,9.703636169433594e-05,5
234,4.982948303222656e-05,3,0.0006020069122314453,4,0,0,7.200241088867188e-05,45,8.511543273925781e-05,3
235,9.989738464355469e-05,7,0.0001518726348876953,10,0,0,1.9073486328125e-05,18,0.0001220703125,7
236,3.814697265625e-05,2,0.00019502639770507812,3,0,0,2.9087066650390625e-05,23,7.987022399902344e-05,2
237,9.703636169433594e-05,7,0.0004279613494873047,8,0,0,5.698204040527344e-05,37,0.00012111663818359375,7
238,8.702278137207031e-05,6,8.702278137207031e-05,7,0,0,1.2874603271484375e-05,13,0.00011491775512695312,6
239,0.000102996826171875,7,0.0005438327789306641,12,0,0,7.009506225585938e-05,42,0.00012111663818359375,7
